file,route,verdict,tier,n_points,n_series,round_fraction,signatures,detail
elsevier_10.1016_j.jallcom.2024.173999_PATH_AC_VISION_PASS_LONG.csv,vision,FAIL,B,30,4,0.2667,shifted_series,shifted_series: single_crystal/Path AC Substep C /T=4.5 = single_crystal/Path AC Substep C /T=6.0 +100000
elsevier_10.1016_j.physc.2010.03.003_VISION_PASS_LONG.csv,vision,FAIL,B,25,5,0.2000,field_beyond_hc2 log_ladder,"log_ladder: single_crystal/Vision-pass first-/T=2.0 step -0.5000 dex over 5 pts, uneven field spacing | log_ladder: single_crystal/Vision-pass first-/T=5.0 step -0.5000 dex over 5 pts, uneven field spacing | log_ladder: single_crystal/Vision-pass first-/T=12.5 step -0.5000 dex over 5 pts, uneven field spacing | field_beyond_hc2: max H 50 T exceeds recorded Hc2 47 T"
elsevier_10.1016_j.ceramint.2024.10.058_VISION_PASS_LONG.csv,vision,FAIL,B,48,5,0.1667,arithmetic shifted_series,shifted_series: bulk/Round 3 disambigua/T=5.0 = bulk/Round 3 disambigua/T=5.0 +400 | arithmetic: bulk/Round 3 disambigua/T=5.0 step -100 over 10 pts
elsevier_10.1016_j.physc.2016.05.023_VISION_PASS_LONG.csv,vision,FAIL,B,60,10,0.1667,arithmetic grid_quantized,arithmetic: single_crystal/Round 3 disambigua/T=3.0 step -5000 over 6 pts | grid_quantized: single_crystal/Round 3 disambigua/T=3.0 all multiples of 5000 (20% of range)
springer_10.1038_s41467-025-55880-4_VISION_PASS_LONG.csv,vision,FAIL,B,36,6,0.0556,shifted_series,shifted_series: thin_film/Round 3 disambigua/T=30.0 = thin_film/Round 3 disambigua/T=75.5 +70000 | shifted_series: thin_film/Round 3 disambigua/T=30.0 = thin_film/Round 3 disambigua/T=75.5 +75000 | shifted_series: thin_film/Round 3 disambigua/T=75.5 = thin_film/Round 3 disambigua/T=75.5 +5000
elsevier_10.1016_j.physb.2025.417755_VISION_PASS_LONG.csv,vision,CHECK,,5,1,1.0000,,
elsevier_10.1016_j.physc.2014.03.020_VISION_PASS_LONG.csv,vision,CHECK,C,11,1,1.0000,,
elsevier_10.1016_j.mtphys.2021.100414_PATH_AC_VISION_PASS_LONG.csv,vision,CHECK,,5,1,0.8000,,
elsevier_10.1016_j.phpro.2015.06.160_VISION_PASS_LONG.csv,vision,CHECK,,30,6,0.8000,,
elsevier_10.1016_j.cjph.2024.09.042_VISION_PASS_LONG.csv,vision,CHECK,,47,8,0.7660,,
elsevier_10.1016_j.physc.2015.03.022_PATH_AC_VISION_PASS_LONG.csv,vision,CHECK,C,6,1,0.6667,grid_quantized,grid_quantized: thin_film/Path AC Substep C /T=4.0 all multiples of 500000 (25% of range)
elsevier_10.1016_j.matpr.2019.05.078_VISION_PASS_LONG.csv,vision,CHECK,,20,4,0.6500,,
elsevier_10.1038_srep22278_PATH_AC_VISION_PASS_LONG.csv,vision,CHECK,,10,2,0.6000,,
elsevier_10.1016_j.matchemphys.2023.128348_VISION_PASS_LONG.csv,vision,CHECK,,24,4,0.5417,,
elsevier_10.1016_j.physc.2010.09.012_PATH_AC_VISION_PASS_LONG.csv,vision,CHECK,,10,2,0.5000,,
elsevier_10.1038_s41598-021-86728-8_PATH_AC_VISION_PASS_LONG.csv,vision,CHECK,,9,1,0.2222,non_monotonic,non_monotonic: single_crystal/Path AC Substep C /T=2.5 5 rises with field
elsevier_10.1016_j.physc.2010.05.048_VISION_PASS_LONG.csv,vision,CHECK,,80,8,0.0500,field_beyond_hc2,field_beyond_hc2: max H 50 T exceeds recorded Hc2 47 T
elsevier_10.1016_j.jallcom.2023.170146_MgB2_bulk_magnetization_10-35K_LONG.csv,named,CHECK,,210,6,0.0238,non_monotonic,non_monotonic: bulk/Wide-to-long conve/T=20.0 2 rises with field | non_monotonic: bulk/Wide-to-long conve/T=30.0 3 rises with field | non_monotonic: bulk/Wide-to-long conve/T=35.0 3 rises with field
elsevier_10.1016_j.physc.2009.05.098_SmFeAsO_MO_SHPM_2-40K_LONG.csv,named,CHECK,,234,9,0.0000,non_monotonic,non_monotonic: thin_film/Wide-to-long conve/T=2.0 5 rises with field | non_monotonic: thin_film/Wide-to-long conve/T=5.0 3 rises with field | non_monotonic: thin_film/Wide-to-long conve/T=10.0 4 rises with field | non_monotonic: thin_film/Wide-to-long conve/T=15.0 4 rises with field | non_monotonic: thin_film/Wide-to-long conve/T=20.0 2 rises with field | non_monotonic: thin_film/Wide-to-long conve/T=25.0 2 rises with field | non_monotonic: thin_film/Wide-to-long conve/T=30.0 2 rises with field | non_monotonic: thin_film/Wide-to-long conve/T=35.0 2 rises with field
elsevier_10.1016_j.physc.2011.02.004_PrFeAsO_magnetization_5-35K_LONG.csv,named,CHECK,,356,6,0.0000,non_monotonic,non_monotonic: unknown/Wide-to-long conve/T=7.0 9 rises with field | non_monotonic: unknown/Wide-to-long conve/T=10.0 13 rises with field | non_monotonic: unknown/Wide-to-long conve/T=15.0 18 rises with field | non_monotonic: unknown/Wide-to-long conve/T=20.0 17 rises with field | non_monotonic: unknown/Wide-to-long conve/T=30.0 13 rises with field | non_monotonic: unknown/Wide-to-long conve/T=25.0 20 rises with field
maglab_Sm1111_4_2K.csv,named,CHECK,,44,2,0.0000,non_monotonic,non_monotonic: thin_film/MagLab compilation/T=4.2 2 rises with field
elsevier_10.1016_j.tsf.2010.03.129_PATH_AC_VISION_PASS_LONG.csv,vision,PASS,,5,1,0.4000,,
elsevier_10.1016_0921-4534(96)00225-0_VISION_PASS_LONG.csv,vision,PASS,,21,3,0.3810,,
elsevier_10.1016_j.physc.2014.09.015_PATH_AC_VISION_PASS_LONG.csv,vision,PASS,,6,1,0.3333,,
maglab_Ni122_4_2K.csv,named,PASS,,29,2,0.0345,,
elsevier_10.1016_j.physc.2013.04.060_MgB2_dopant_series_transport_10K_LONG.csv,named,PASS,,49,5,0.0204,,
elsevier_10.1016_j.jallcom.2023.170384_LaFeAsO_magnetization_2-10K_LONG.csv,named,PASS,,26,4,0.0000,,
elsevier_10.1016_j.phpro.2012.03.421_VISION_PASS_LONG.csv,vision,PASS,,6,1,0.0000,,
elsevier_10.1016_j.physc.2013.04.060_MgB2_C_doping_series_transport_4_2K_LONG.csv,named,PASS,,19,3,0.0000,,
iop_10.1088_0953-2048_29_3_035013_FeSe0.5Te0.5_MO_SHPM_H_sweep_LONG.csv,named,PASS,,96,7,0.0000,,
iop_10.1088_0953-2048_29_3_035013_FeSe0.5Te0.5_MO_SHPM_T_sweep_LONG.csv,named,PASS,,30,0,0.0000,,
maglab_11_4_2K.csv,named,PASS,,10,2,0.0000,,
maglab_11_6K.csv,named,PASS,,36,1,0.0000,,
maglab_Co122_4_2K.csv,named,PASS,,18,2,0.0000,,
maglab_Co122_4_2K_zero.csv,named,PASS,,1,1,0.0000,,
maglab_La1111_4_2K.csv,named,PASS,,14,2,0.0000,,
maglab_Nd1111_10K.csv,named,PASS,,72,2,0.0000,,
maglab_Nd1111_4_2K.csv,named,PASS,,10,1,0.0000,,
maglab_P122_4_2K.csv,named,PASS,,30,2,0.0000,,
springer_10.1038_s41598-022-24044-5_FeSeTe_transport_4-12K_LONG.csv,named,PASS,,166,5,0.0000,,
